Region,Prodotto
EMILIA ROMAGNA	Tagliatelle con ricotta e noci, Taiadei cun ricotta e nus
EMILIA ROMAGNA	Tagliatelle verdi all'emiliana, Tajadeli verdi
EMILIA ROMAGNA	Tagliatelle verdi, Tajadёl verdi, Tajadèli verdi
EMILIA ROMAGNA	Tagliatelle, Tajadèli, Tajadël, Lasagni
EMILIA ROMAGNA	Tortellacci di carnevale
EMILIA ROMAGNA	Tortellacci, Tortelloni, Turtlacc
EMILIA ROMAGNA	Tortelli alla lastra
EMILIA ROMAGNA	Tortelli coi rosolacci, Turtel cun al barösli; Turtel con al ròşli
EMILIA ROMAGNA	Tortelli con le ortiche
EMILIA ROMAGNA	Tortelli d'erbetta, Torde d’erbeta
EMILIA ROMAGNA	Tortelli di San Giuseppe, Turtei ad San Giusèpp
EMILIA ROMAGNA	Tortelli di carnevale, Frittelle ripiene, Turtlitt
EMILIA ROMAGNA	Tortelli di farina di castagne, Tortei ad fareina ad castagne
EMILIA ROMAGNA	Tortelli di mele
EMILIA ROMAGNA	Tortelli di patate
EMILIA ROMAGNA	Tortelli di ricotta
EMILIA ROMAGNA	Tortelli di ricotta alla piacentina, Tortelli, Turtei cu la cua,  Turtei
EMILIA ROMAGNA	Tortelli di verza
EMILIA ROMAGNA	Tortelli di zucca alla reggiana, Turtei ed zoca
EMILIA ROMAGNA	Tortelli di zucca, Tortei ad zücc, Cappellacci di zucca, Turtlòn ad sùca
EMILIA ROMAGNA	Tortelli ripieni con bietole, Tortelli verdi alla reggiana, Turtee d'erba
EMILIA ROMAGNA	Tortellini
EMILIA ROMAGNA	Tortellini di Bologna
LAZIO	Fettuccine
LAZIO	Gnocchetti di polenta
LAZIO	Gnocchi de lu contadino
LAZIO	Gnocchi di castagne
LAZIO	Gnocchi di tritello di Valmontone
LAZIO	Gnocchi ricci
LAZIO	Maccheroni
LAZIO	Maccheroni a matassa
LAZIO	Maccheroni con le noci di Vejano
LAZIO	Pasta di Antrodoco (spaghetti, bucatini, perciatelli, mezze maniche, rigatoni, linguine di passero)
LAZIO	Pizzicotto (Pasta alimentare)
LAZIO	Ravioli con crema di castagne
LAZIO	Ravioli di patate
LAZIO	Raviolo di San Pancrazio
LAZIO	Sagne
LAZIO	Sciuscella
LAZIO	Strozzapreti
LAZIO	Tagliatelle di castagne
LIGURIA	Pasta sciancà
LIGURIA	Ravioli di patate rosse
LIGURIA	Raviolo alle erbette, Pansoto
LIGURIA	Raviolo ligure
LIGURIA	Raviolo magro
LIGURIA	Trofie
LOMBARDIA	Fidelin
LOMBARDIA	Gnocchi di zucca
LOMBARDIA	Marubini
LOMBARDIA	Pizzoccheri bianchi della Valchiavenna
LOMBARDIA	Tortelli cremaschi
LOMBARDIA	Tortelli di zucca
LOMBARDIA	Tortello amaro di Castel Goffredo
MOLISE	Cavatelli o Cecatelli (Cavatielli)
MOLISE	Fusilli
MOLISE	Orecchiette (Recchietelle)
MOLISE	Pasta imperiale
MOLISE	Ravioli scapolesi
MOLISE	Sagnetelle
MOLISE	Tacconelle (Taccozze)
PIEMONTE	Agnolotti
PIEMONTE	Tajarin
PROV. BOLZANO	Knoedel (Canederli)
PROV. BOLZANO	Nocken (Gnocchi)
PROV. BOLZANO	Schlutzkrapfen (Ravioloni ripieni)
PROV.TRENTO	Canederli trentini
PROV.TRENTO	Strangolapreti
PUGLIA	Cavatelli
PUGLIA	Dita d'apostoli, Oi a nuvola, Oi a nnèula, Oi a nèmula, Oi ncannulati
PUGLIA	Fusilli
PUGLIA	Lagane
PUGLIA	Lasagne arrotolate
PUGLIA	Orecchiette
PUGLIA	Pasta di grano bruciato
PUGLIA	Ravioli con ricotta
PUGLIA	Strascinato di grano arso
PUGLIA	Troccoli
SARDEGNA	Culurgiones - Culingionis -  Culurzones de patata e cazzau
SARDEGNA	Fregola sarda, Fregula
SARDEGNA	Gnocchetti, Maccarones, Cravoas, Cigiones, Cigioni
SARDEGNA	Malloreddus
SARDEGNA	Michitus nieddus -Tagliatelle nere; tagliatelle integrali nere
